event_id,source_video,frame_range,peak_frame,split_topology,track_id,parent_id,confidence,tracker_confidence,classification_source,centroid_x,centroid_y,claude_notes,bleach_risk,acd_division_type,misaligned_chromosomes,lagging_chromosome,anaphase_bridge,micronucleus
21,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,14-24,24,normal_split,338,164,0.0,0.1000,claude,1028.173717948718,927.6884615384615,"The small irregular object in the upper-left region shows fragmentation and blur across frames, consistent with z-plane focus drift or transient shape-change flickering rather than a genuine cell division. The object lacks the clear morphological progression (rounding, elongation along a cleavage plane, formation of two stable daughter cells) characteristic of real mitosis, and the fragments do not persist as distinct, well-defined cells in subsequent frames.",0.042,,,,,
22,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,20-30,30,normal_split,352,290,0.0,0.1000,claude,1972.490927941939,314.7485743908761,"The cell population remains static across all frames with no morphological changes, rounding, elongation, or separation of any parent cell into distinct daughters. The apparent distribution of cells is identical across frames, consistent with focus drift or tracking artifact rather than a real division event.",0.052,,,,,
23,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,20-30,30,normal_split,353,290,0.0,0.1000,claude,1972.490927941939,314.7485743908761,"The cell population remains static across all frames with no morphological changes, rounding, elongation, or separation of any parent cell into distinct daughters. The apparent distribution of cells is identical across frames, consistent with focus drift or tracking artifact rather than a real division event.",0.052,,,,,
24,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,23-33,33,normal_split,358,278,0.0,0.5000,claude,1413.071539657854,332.9533437013997,"The object in the center appears as an elongated, rod-like structure in frames 1–2 (before split), then shows two small bright spots in frames 3–5 (after split). However, the morphology is inconsistent with normal cell division: the pre-split structure is extremely thin and elongated (more like debris or an artifact), and the post-split objects remain very small and faint without the expected nuclear material or cytoplasm characteristic of daughter cells. This is most consistent with z-plane focus drift or image noise rather than a genuine mitotic event.",0.057,,,,,
25,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,23-33,33,normal_split,359,278,0.0,0.5000,claude,1413.071539657854,332.9533437013997,"The object in the center appears as an elongated, rod-like structure in frames 1–2 (before split), then shows two small bright spots in frames 3–5 (after split). However, the morphology is inconsistent with normal cell division: the pre-split structure is extremely thin and elongated (more like debris or an artifact), and the post-split objects remain very small and faint without the expected nuclear material or cytoplasm characteristic of daughter cells. This is most consistent with z-plane focus drift or image noise rather than a genuine mitotic event.",0.057,,,,,
26,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,33-43,43,normal_split,382,39,0.0,0.1000,claude,1230.6866952789699,414.78669527896994,"The cell in the center shows progressive fragmentation and loss of cohesion across frames, appearing as increasingly dispersed bright puncta rather than two distinct, persistent daughter cells with intact membranes. This pattern is consistent with cell death or z-plane focus drift causing a single cell to appear fragmented, rather than genuine cytokinesis producing viable daughters.",0.075,,,,,
27,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,33-43,43,normal_split,383,39,0.0,0.1000,claude,1230.6866952789699,414.78669527896994,"The cell in the center shows progressive fragmentation and loss of cohesion across frames, appearing as increasingly dispersed bright puncta rather than two distinct, persistent daughter cells with intact membranes. This pattern is consistent with cell death or z-plane focus drift causing a single cell to appear fragmented, rather than genuine cytokinesis producing viable daughters.",0.075,,,,,
28,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,33-43,43,normal_split,384,320,0.0,0.1000,claude,246.5046992481203,1445.5845864661653,"The cell in the upper-left region shows progressive fragmentation and degradation across frames rather than a clean mitotic division. The appearance of multiple small pieces in the later frames is consistent with cell death or apoptosis, not cytokinesis producing two viable daughter cells. No two persistent, rounded daughter cells are observed.",0.075,,,,,
29,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,33-43,43,normal_split,385,320,0.0,0.1000,claude,246.5046992481203,1445.5845864661653,"The cell in the upper-left region shows progressive fragmentation and degradation across frames rather than a clean mitotic division. The appearance of multiple small pieces in the later frames is consistent with cell death or apoptosis, not cytokinesis producing two viable daughter cells. No two persistent, rounded daughter cells are observed.",0.075,,,,,
30,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,34-44,44,normal_split,388,300,0.0,1.0000,claude,1214.1030042918455,1448.3068669527897,"The center region shows a cell that appears to transiently elongate and briefly manifest as two touching objects across frames 3-5 (after-frames), but the structures remain dim, poorly resolved, and do not clearly separate into two persistent daughter cells with stable morphology. This pattern is consistent with z-plane focus drift or shape-change flickering rather than a genuine mitotic division.",0.077,,,,,
31,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,34-44,44,normal_split,389,300,0.0,1.0000,claude,1214.1030042918455,1448.3068669527897,"The center region shows a cell that appears to transiently elongate and briefly manifest as two touching objects across frames 3-5 (after-frames), but the structures remain dim, poorly resolved, and do not clearly separate into two persistent daughter cells with stable morphology. This pattern is consistent with z-plane focus drift or shape-change flickering rather than a genuine mitotic division.",0.077,,,,,
32,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,37-47,47,normal_split,395,332,0.0,0.3000,claude,1299.6274314214463,1243.5077306733167,"The cell in the upper right region appears to maintain a similar two-lobed or dumbbell morphology across all frames, consistent with shape-change flickering or z-plane focus effects rather than a genuine cell division. No clear separation, migration, or establishment of two distinct daughter cells is observed; the touching lobes remain in proximity without persistent independent motion or growth patterns characteristic of real mitosis.",0.082,,,,,
33,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,37-47,47,normal_split,396,332,0.0,0.3000,claude,1299.6274314214463,1243.5077306733167,"The cell in the upper right region appears to maintain a similar two-lobed or dumbbell morphology across all frames, consistent with shape-change flickering or z-plane focus effects rather than a genuine cell division. No clear separation, migration, or establishment of two distinct daughter cells is observed; the touching lobes remain in proximity without persistent independent motion or growth patterns characteristic of real mitosis.",0.082,,,,,
34,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,40-50,50,normal_split,405,350,0.0,0.1000,claude,1373.5522006141248,1127.8556806550666,"The cell in the center maintains a consistent two-lobed or dumbbell morphology throughout all frames with no evidence of rounding, elongation, or separation into persistent daughter cells. The appearance is static and characteristic of shape-change flickering or a cell in a fixed morphological state rather than an active division event.",0.087,,,,,
35,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,40-50,50,normal_split,406,350,0.0,0.1000,claude,1373.5522006141248,1127.8556806550666,"The cell in the center maintains a consistent two-lobed or dumbbell morphology throughout all frames with no evidence of rounding, elongation, or separation into persistent daughter cells. The appearance is static and characteristic of shape-change flickering or a cell in a fixed morphological state rather than an active division event.",0.087,,,,,
36,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,44-54,54,normal_split,418,96,0.0,0.1000,claude,117.99865951742628,1969.1970509383377,"The candidate event shows a cell that progressively fragments or disintegrates into increasingly smaller, disconnected fragments rather than undergoing organized cell division. This fragmentation pattern is inconsistent with real mitosis, where daughter cells remain cohesive and persistent; instead, it suggests z-plane focus drift, debris, or cell death rather than a true division event.",0.094,,,,,
37,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,44-54,54,normal_split,419,96,0.0,0.1000,claude,117.99865951742628,1969.1970509383377,"The candidate event shows a cell that progressively fragments or disintegrates into increasingly smaller, disconnected fragments rather than undergoing organized cell division. This fragmentation pattern is inconsistent with real mitosis, where daughter cells remain cohesive and persistent; instead, it suggests z-plane focus drift, debris, or cell death rather than a true division event.",0.094,,,,,
38,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,45-55,55,normal_split,424,261,0.0,0.1000,claude,598.4778393351801,1791.6835180055402,"The six frames show no detectable change in cell positions, morphology, or number. All cells maintain stable, rounded morphology throughout the sequence with no evidence of rounding, elongation, cleavage furrow formation, or separation into daughter cells. This appears to be static background noise or a tracking artifact rather than a real division event.",0.096,,,,,
39,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,45-55,55,normal_split,425,261,0.0,0.1000,claude,598.4778393351801,1791.6835180055402,"The six frames show no detectable change in cell positions, morphology, or number. All cells maintain stable, rounded morphology throughout the sequence with no evidence of rounding, elongation, cleavage furrow formation, or separation into daughter cells. This appears to be static background noise or a tracking artifact rather than a real division event.",0.096,,,,,
40,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,45-55,55,normal_split,422,411,0.0,0.2000,claude,1442.863436123348,344.02819383259913,"The small dim cell in the lower-left region shows minimal morphological change across all frames, with no clear rounding, elongation, or distinct separation into two persistent daughter cells. The apparent 'split' appears to be a tracking artifact or flickering of a weakly-stained cell rather than a genuine mitotic division event.",0.096,,,,,
41,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,45-55,55,normal_split,423,411,0.0,0.2000,claude,1442.863436123348,344.02819383259913,"The small dim cell in the lower-left region shows minimal morphological change across all frames, with no clear rounding, elongation, or distinct separation into two persistent daughter cells. The apparent 'split' appears to be a tracking artifact or flickering of a weakly-stained cell rather than a genuine mitotic division event.",0.096,,,,,
42,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,49-59,59,normal_split,435,430,0.0,0.2000,claude,1439.4953987730062,343.08205521472394,"The cell in the center region appears fragmented across multiple frames, but this is consistent with z-plane focus drift or imaging artifact rather than a true cytokinetic division. No clear rounding, elongation, or persistent separation into two distinct daughter cells is observed; instead, the signal appears to blur and fragment without coherent morphological progression of a mitotic event.",0.103,,,,,
43,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,49-59,59,normal_split,436,430,0.0,0.2000,claude,1439.4953987730062,343.08205521472394,"The cell in the center region appears fragmented across multiple frames, but this is consistent with z-plane focus drift or imaging artifact rather than a true cytokinetic division. No clear rounding, elongation, or persistent separation into two distinct daughter cells is observed; instead, the signal appears to blur and fragment without coherent morphological progression of a mitotic event.",0.103,,,,,
44,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,54-64,64,normal_split,458,337,0.0,0.1000,claude,1032.8336646785951,918.0046388336647,"No significant morphological changes are observed across the five frames. All cells maintain stable, rounded or slightly elongated shapes with no evidence of cell rounding, elongation along a cleavage plane, or the appearance of two distinct daughter cells. The apparent stability suggests this is likely a tracking artifact or ID swap rather than a genuine cell division event.",0.111,,,,,
45,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,54-64,64,normal_split,459,337,0.0,0.1000,claude,1032.8336646785951,918.0046388336647,"No significant morphological changes are observed across the five frames. All cells maintain stable, rounded or slightly elongated shapes with no evidence of cell rounding, elongation along a cleavage plane, or the appearance of two distinct daughter cells. The apparent stability suggests this is likely a tracking artifact or ID swap rather than a genuine cell division event.",0.111,,,,,
46,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,55-65,65,normal_split,464,415,0.0,0.2000,claude,828.5686015831135,1525.6385224274406,"The central elongated structure shows shape-change flickering consistent with a single cell undergoing brief morphological fluctuations rather than a genuine division. Across all frames, the object remains in roughly the same location and exhibits transient splitting into 2-3 blobs that recombine, characteristic of z-plane focus drift or segmentation artifacts rather than persistent daughter cell formation.",0.113,,,,,
47,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,55-65,65,normal_split,465,415,0.0,0.2000,claude,828.5686015831135,1525.6385224274406,"The central elongated structure shows shape-change flickering consistent with a single cell undergoing brief morphological fluctuations rather than a genuine division. Across all frames, the object remains in roughly the same location and exhibits transient splitting into 2-3 blobs that recombine, characteristic of z-plane focus drift or segmentation artifacts rather than persistent daughter cell formation.",0.113,,,,,
48,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,56-66,66,normal_split,469,139,0.0,0.1000,claude,593.4283137962128,832.9458972046889,"The frames show no clear cell division event. The cluster of cells in the lower-left region remains stable across all frames with no evidence of rounding, elongation, cleavage plane formation, or separation into distinct daughter cells. The appearance is consistent with a static group of closely-positioned cells or z-plane focus drift creating the illusion of multiple masks, rather than an actual division event.",0.115,,,,,
49,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,56-66,66,normal_split,470,139,0.0,0.1000,claude,593.4283137962128,832.9458972046889,"The frames show no clear cell division event. The cluster of cells in the lower-left region remains stable across all frames with no evidence of rounding, elongation, cleavage plane formation, or separation into distinct daughter cells. The appearance is consistent with a static group of closely-positioned cells or z-plane focus drift creating the illusion of multiple masks, rather than an actual division event.",0.115,,,,,
50,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,58-68,68,normal_split,478,185,0.0,0.1000,claude,457.90445859872614,283.2722929936306,"The central object appears as a small, dim, and fragmented structure across all frames that never exhibits the characteristic morphology of a real cell division. No clear rounding, elongation, or formation of two persistent, distinct daughter cells is observed; instead, the object remains extremely small and diffuse, consistent with z-plane focus drift or transient segmentation artifacts rather than cytokinesis.",0.118,,,,,
51,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,58-68,68,normal_split,479,185,0.0,0.1000,claude,457.90445859872614,283.2722929936306,"The central object appears as a small, dim, and fragmented structure across all frames that never exhibits the characteristic morphology of a real cell division. No clear rounding, elongation, or formation of two persistent, distinct daughter cells is observed; instead, the object remains extremely small and diffuse, consistent with z-plane focus drift or transient segmentation artifacts rather than cytokinesis.",0.118,,,,,
52,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,59-69,69,normal_split,481,440,0.0,0.2000,claude,1297.1408148677626,1232.770550393138,"The cell in the center-right region appears to separate into two touching blobs across the transition, but this is consistent with shape-change flickering or z-plane focus drift rather than a genuine division. The two apparent 'daughters' do not maintain persistent, distinct morphologies in subsequent frames—they appear to merge or shift as a single entity, and there is no clear rounding, elongation along a cleavage plane, or stable separation characteristic of a real mitotic event.",0.120,,,,,
53,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,59-69,69,normal_split,482,440,0.0,0.2000,claude,1297.1408148677626,1232.770550393138,"The cell in the center-right region appears to separate into two touching blobs across the transition, but this is consistent with shape-change flickering or z-plane focus drift rather than a genuine division. The two apparent 'daughters' do not maintain persistent, distinct morphologies in subsequent frames—they appear to merge or shift as a single entity, and there is no clear rounding, elongation along a cleavage plane, or stable separation characteristic of a real mitotic event.",0.120,,,,,
54,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,64-74,74,normal_split,499,461,0.0,1.0000,claude,1164.7836021505377,600.7056451612904,"The central region shows a small bright structure that appears and persists across frames, but it remains extremely dim and does not exhibit the characteristic morphological changes of a real cell division. The structure does not round up, elongate along a cleavage plane, or resolve into two distinct, persistent daughter cells with proper size and intensity. This appears to be z-plane focus drift or image noise artifacts rather than a genuine cytokinesis event.",0.129,,,,,
55,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,64-74,74,normal_split,500,461,0.0,1.0000,claude,1164.7836021505377,600.7056451612904,"The central region shows a small bright structure that appears and persists across frames, but it remains extremely dim and does not exhibit the characteristic morphological changes of a real cell division. The structure does not round up, elongate along a cleavage plane, or resolve into two distinct, persistent daughter cells with proper size and intensity. This appears to be z-plane focus drift or image noise artifacts rather than a genuine cytokinesis event.",0.129,,,,,
56,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,65-75,75,normal_split,503,384,0.0,0.1000,claude,222.21947283485744,1451.0833781603012,"No clear division event is visible across the five frames. The cell populations remain stable with consistent morphology and positioning throughout the sequence. There is no evidence of rounding, elongation, cleavage plane formation, or the emergence of two distinct daughter cells that would characterize a real mitotic division.",0.130,,,,,
57,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,65-75,75,normal_split,504,384,0.0,0.1000,claude,222.21947283485744,1451.0833781603012,"No clear division event is visible across the five frames. The cell populations remain stable with consistent morphology and positioning throughout the sequence. There is no evidence of rounding, elongation, cleavage plane formation, or the emergence of two distinct daughter cells that would characterize a real mitotic division.",0.130,,,,,
58,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,68-78,78,normal_split,511,495,0.0,0.1000,claude,598.3448965977318,1795.0907271514343,"The five frames show essentially static cell positions with no observable morphological changes, rounding, elongation, or cleavage plane formation. All cells maintain their original oval shapes and positions throughout the sequence, consistent with imaging artifact or tracking ID fluctuation rather than an actual cell division event.",0.136,,,,,
59,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,68-78,78,normal_split,512,495,0.0,0.1000,claude,598.3448965977318,1795.0907271514343,"The five frames show essentially static cell positions with no observable morphological changes, rounding, elongation, or cleavage plane formation. All cells maintain their original oval shapes and positions throughout the sequence, consistent with imaging artifact or tracking ID fluctuation rather than an actual cell division event.",0.136,,,,,
60,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,70-80,80,normal_split,520,130,0.0,0.1000,claude,994.2517428350117,472.93725793958174,"The frames show no significant morphological changes or evidence of cell division. All cells maintain consistent positions and round morphology throughout the sequence, with no rounding-up, elongation, cleavage plane formation, or separation of daughter cells between the before and after frames. This appears to be a tracking artifact or ID assignment error rather than a genuine division event.",0.139,,,,,
61,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,70-80,80,normal_split,521,130,0.0,0.1000,claude,994.2517428350117,472.93725793958174,"The frames show no significant morphological changes or evidence of cell division. All cells maintain consistent positions and round morphology throughout the sequence, with no rounding-up, elongation, cleavage plane formation, or separation of daughter cells between the before and after frames. This appears to be a tracking artifact or ID assignment error rather than a genuine division event.",0.139,,,,,
62,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,70-80,80,normal_split,522,509,0.0,0.1000,claude,140.47539267015708,1864.6638743455496,"The central cell shows morphological changes and fragmentation across frames, but the pattern is inconsistent with a clean cell division. Rather than rounding up and dividing symmetrically, the object progressively fragments into multiple small pieces with irregular morphology, suggesting z-plane focus drift, blebbing, or cell death rather than a real mitotic division. The daughter objects lack the persistent, round nuclear morphology expected from viable daughter cells.",0.139,,,,,
63,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,70-80,80,normal_split,523,509,0.0,0.1000,claude,140.47539267015708,1864.6638743455496,"The central cell shows morphological changes and fragmentation across frames, but the pattern is inconsistent with a clean cell division. Rather than rounding up and dividing symmetrically, the object progressively fragments into multiple small pieces with irregular morphology, suggesting z-plane focus drift, blebbing, or cell death rather than a real mitotic division. The daughter objects lack the persistent, round nuclear morphology expected from viable daughter cells.",0.139,,,,,
64,20251016_ACTB_Tom20 - Denoised_Tom20.avi (blue).avi,71-81,81,normal_split,525,483,0.0,0.1000,claude,797.4690265486726,1549.1592920353983,"The central object remains as a single, relatively static small blob across all frames with minimal morphological change. There is no evidence of rounding, elongation along a cleavage plane, or separation into two distinct daughter cells. This appears to be a shape-change flickering artifact or a tracking ID anomaly rather than a genuine cell division event.",0.141,,,,,
